no,commodity,date,avg_price
1,kentang,2024-01-01,15366.5
2,kentang,2024-01-02,15511.684210526315
3,kentang,2024-01-03,15610.105263157895
4,kentang,2024-01-04,15715.157894736842
5,kentang,2024-01-05,15698.684210526315
6,kentang,2024-01-06,15785.552631578947
7,kentang,2024-01-07,15689.736842105263
8,kentang,2024-01-08,15851.578947368422
9,kentang,2024-01-09,15927.684210526315
10,kentang,2024-01-10,16069.157894736842
11,kentang,2024-01-11,16163.868421052632
12,kentang,2024-01-12,16301.131578947368
13,kentang,2024-01-13,16291.5
14,kentang,2024-01-14,16334.736842105263
15,kentang,2024-01-15,16460.815789473683
16,kentang,2024-01-16,16569.184210526317
17,kentang,2024-01-17,16669.605263157893
18,kentang,2024-01-18,16727.894736842107
19,kentang,2024-01-19,16841.92105263158
20,kentang,2024-01-20,16890.157894736843
21,kentang,2024-01-21,16971.736842105263
22,kentang,2024-01-22,17145.026315789473
23,kentang,2024-01-23,17293.263157894737
24,kentang,2024-01-24,17393.236842105263
25,kentang,2024-01-25,17415.394736842107
26,kentang,2024-01-26,17494.13157894737
27,kentang,2024-01-27,17466.684210526317
28,kentang,2024-01-28,17457.947368421053
29,kentang,2024-01-29,17591.947368421053
30,kentang,2024-01-30,17603.13157894737
31,kentang,2024-01-31,17578.342105263157
32,kentang,2024-02-01,17622.63157894737
33,kentang,2024-02-02,17595.0
34,kentang,2024-02-03,17609.894736842107
35,kentang,2024-02-04,17634.026315789473
36,kentang,2024-02-05,17699.13157894737
37,kentang,2024-02-06,17673.052631578947
38,kentang,2024-02-07,17684.894736842107
39,kentang,2024-02-08,17698.052631578947
40,kentang,2024-02-09,17716.052631578947
41,kentang,2024-02-10,17703.763157894737
42,kentang,2024-02-11,17670.842105263157
43,kentang,2024-02-12,17549.42105263158
44,kentang,2024-02-13,17590.0
45,kentang,2024-02-14,17617.394736842107
46,kentang,2024-02-15,17589.57894736842
47,kentang,2024-02-16,17499.842105263157
48,kentang,2024-02-17,17487.13157894737
49,kentang,2024-02-18,17366.28947368421
50,kentang,2024-02-19,17280.315789473683
51,kentang,2024-02-20,17196.342105263157
52,kentang,2024-02-21,17123.315789473683
53,kentang,2024-02-22,17071.973684210527
54,kentang,2024-02-23,17011.684210526317
55,kentang,2024-02-24,16981.842105263157
56,kentang,2024-02-25,16973.315789473683
57,kentang,2024-02-26,16791.947368421053
58,kentang,2024-02-27,16732.28947368421
59,kentang,2024-02-28,16686.21052631579
60,kentang,2024-02-29,16613.63157894737
61,kentang,2024-03-01,16505.28947368421
62,kentang,2024-03-02,16418.052631578947
63,kentang,2024-03-03,16376.368421052632
64,kentang,2024-03-04,16339.105263157895
65,kentang,2024-03-05,16333.605263157895
66,kentang,2024-03-06,16260.631578947368
67,kentang,2024-03-07,16177.315789473685
68,kentang,2024-03-08,16252.71052631579
69,kentang,2024-03-09,16261.526315789473
70,kentang,2024-03-10,16274.236842105263
71,kentang,2024-03-11,16309.526315789473
72,kentang,2024-03-12,16237.157894736842
73,kentang,2024-03-13,16147.657894736842
74,kentang,2024-03-14,16194.578947368422
