Kabupaten Sidoarjo	Rp12.000
Kota Madiun	Rp11.833
Kabupaten Malang	Rp11.000
Kabupaten Madiun	Rp9.750
Kota Blitar	Rp9.750
Kabupaten Situbondo	Rp9.666
Kota Surabaya	Rp9.625
Kabupaten Lumajang	Rp9.500
Kabupaten Bondowoso	Rp9.375
Kota Malang	Rp9.333
Kabupaten Bangkalan	Rp9.333
Kabupaten Ngawi	Rp9.333
Kabupaten Jember	Rp9.125
Kabupaten Banyuwangi	Rp9.000
Kabupaten Gresik	Rp9.000
Kabupaten Nganjuk	Rp9.000
Kabupaten Pamekasan	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Batu	Rp9.000
Kabupaten Lamongan	Rp8.750
Kabupaten Jombang	Rp8.666
Kota Pasuruan	Rp8.650
Kota Kediri	Rp8.500
Kabupaten Kediri	Rp8.500
Kabupaten Pacitan	Rp8.166
Kabupaten Pasuruan	Rp8.166
Kota Mojokerto	Rp8.000
Kabupaten Tulungagung	Rp7.666
Kabupaten Sampang	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Tuban	Rp7.500
Kabupaten Mojokerto	Rp7.250
Kabupaten Bojonegoro	Rp7.000
Kabupaten Magetan	Rp6.833
Kabupaten Probolinggo	Rp6.666
Kabupaten Ponorogo	Rp6.250
Kabupaten Blitar	Rp6.000
Kota Probolinggo	Rp6.000
