no,city,year,commodity,price
1,Kota Madiun,2024-03-25,jagung,12333
2,Kabupaten Malang,2024-03-25,jagung,11200
3,Kabupaten Sidoarjo,2024-03-25,jagung,10500
4,Kota Blitar,2024-03-25,jagung,9750
5,Kabupaten Lumajang,2024-03-25,jagung,9666
6,Kabupaten Situbondo,2024-03-25,jagung,9666
7,Kota Surabaya,2024-03-25,jagung,9625
8,Kabupaten Bondowoso,2024-03-25,jagung,9375
9,Kota Malang,2024-03-25,jagung,9333
10,Kabupaten Bangkalan,2024-03-25,jagung,9333
11,Kabupaten Nganjuk,2024-03-25,jagung,9000
12,Kabupaten Pamekasan,2024-03-25,jagung,9000
13,Kabupaten Sumenep,2024-03-25,jagung,9000
14,Kota Batu,2024-03-25,jagung,9000
15,Kabupaten Lamongan,2024-03-25,jagung,8875
16,Kabupaten Gresik,2024-03-25,jagung,8666
17,Kabupaten Jombang,2024-03-25,jagung,8666
18,Kabupaten Ngawi,2024-03-25,jagung,8666
19,Kota Pasuruan,2024-03-25,jagung,8650
20,Kabupaten Banyuwangi,2024-03-25,jagung,8400
21,Kabupaten Jember,2024-03-25,jagung,8375
22,Kabupaten Kediri,2024-03-25,jagung,8333
23,Kabupaten Probolinggo,2024-03-25,jagung,8333
24,Kabupaten Sampang,2024-03-25,jagung,8000
25,Kabupaten Madiun,2024-03-25,jagung,7875
26,Kabupaten Pasuruan,2024-03-25,jagung,7833
27,Kota Mojokerto,2024-03-25,jagung,7750
28,Kabupaten Pacitan,2024-03-25,jagung,7666
29,Kabupaten Tulungagung,2024-03-25,jagung,7666
30,Kota Kediri,2024-03-25,jagung,7500
31,Kabupaten Trenggalek,2024-03-25,jagung,7500
32,Kabupaten Mojokerto,2024-03-25,jagung,7225
33,Kabupaten Tuban,2024-03-25,jagung,7166
34,Kabupaten Magetan,2024-03-25,jagung,7083
35,Kabupaten Bojonegoro,2024-03-25,jagung,7000
36,Kota Probolinggo,2024-03-25,jagung,6333
37,Kabupaten Ponorogo,2024-03-25,jagung,6250
38,Kabupaten Blitar,2024-03-25,jagung,6000
