no,tanggal,hrg
0,2023-01-01,52189.5
1,2023-01-02,58995.42105263158
2,2023-01-03,60427.89473684211
3,2023-01-04,58697.15789473684
4,2023-01-05,56529.28947368421
5,2023-01-06,56339.55263157895
6,2023-01-07,57776.84210526316
7,2023-01-08,57018.73684210526
8,2023-01-09,55783.44736842105
9,2023-01-10,54374.68421052631
10,2023-01-11,52574.60526315789
11,2023-01-12,51725.26315789474
12,2023-01-13,50582.47368421053
13,2023-01-14,49497.89473684211
14,2023-01-15,47910.60526315789
15,2023-01-16,43279.68421052631
16,2023-01-17,43617.78947368421
17,2023-01-18,45780.97368421053
18,2023-01-19,46233.57894736842
19,2023-01-20,45856.39473684211
20,2023-01-21,45487.78947368421
21,2023-01-22,45224.36842105263
22,2023-01-23,46771.73684210526
23,2023-01-24,49256.42105263158
24,2023-01-25,49204.65789473684
25,2023-01-26,49295.84210526316
26,2023-01-27,49744.78947368421
27,2023-01-28,49640.63157894737
28,2023-01-29,49547.42105263158
29,2023-01-30,49882.73684210526
30,2023-01-31,49840.86842105263
31,2023-02-01,49191.05263157895
32,2023-02-02,48150.73684210526
33,2023-02-03,48193.89473684211
34,2023-02-04,49136.89473684211
35,2023-02-05,50459.05263157895
36,2023-02-06,53358.63157894737
37,2023-02-07,54289.34210526316
38,2023-02-08,54259.02631578947
39,2023-02-09,54494.13157894737
40,2023-02-10,55572.23684210526
41,2023-02-11,56593.07894736842
42,2023-02-12,56941.73684210526
43,2023-02-13,58470.89473684211
44,2023-02-14,58590.0
45,2023-02-15,58771.81578947369
46,2023-02-16,60517.42105263158
47,2023-02-17,61340.13157894737
48,2023-02-18,61671.78947368421
49,2023-02-19,61321.55263157895
50,2023-02-20,60809.26315789474
51,2023-02-21,60554.89473684211
52,2023-02-22,61229.02631578947
53,2023-02-23,60989.34210526316
54,2023-02-24,60782.34210526316
55,2023-02-25,60587.78947368421
56,2023-02-26,60107.52631578947
57,2023-02-27,57971.78947368421
58,2023-02-28,57774.15789473684
59,2023-03-01,58233.15789473684
60,2023-03-02,59782.02631578947
61,2023-03-03,63060.63157894737
62,2023-03-04,65068.23684210526
63,2023-03-05,66397.18421052632
64,2023-03-06,70951.42105263157
65,2023-03-07,71507.28947368421
66,2023-03-08,71179.86842105263
67,2023-03-09,71429.21052631579
68,2023-03-10,72137.52631578948
69,2023-03-11,72928.34210526316
70,2023-03-12,73138.0
71,2023-03-13,74131.42105263157
72,2023-03-14,74640.6052631579
73,2023-03-15,74970.8947368421
74,2023-03-16,76185.73684210527
75,2023-03-17,76698.47368421052
76,2023-03-18,76115.13157894737
77,2023-03-19,76129.0
78,2023-03-20,75571.76315789473
79,2023-03-21,74975.5
80,2023-03-22,74466.97368421052
81,2023-03-23,73188.0
82,2023-03-24,73324.78947368421
83,2023-03-25,73528.73684210527
84,2023-03-26,72608.57894736843
85,2023-03-27,65540.63157894737
86,2023-03-28,56109.28947368421
87,2023-03-29,51544.73684210526
88,2023-03-30,52083.60526315789
89,2023-03-31,50405.34210526316
90,2023-04-01,46324.39473684211
91,2023-04-02,45197.23684210526
92,2023-04-03,40507.76315789474
93,2023-04-04,38862.13157894737
94,2023-04-05,36705.07894736842
95,2023-04-06,35678.84210526316
96,2023-04-07,34850.34210526316
97,2023-04-08,33956.02631578947
98,2023-04-09,33119.60526315789
99,2023-04-10,30763.86842105263
100,2023-04-11,29968.71052631579
101,2023-04-12,29627.447368421053
102,2023-04-13,28720.447368421053
103,2023-04-14,28063.052631578947
104,2023-04-15,28030.315789473683
105,2023-04-16,28035.552631578947
106,2023-04-17,27190.157894736843
107,2023-04-18,29487.78947368421
108,2023-04-19,30683.0
109,2023-04-20,30077.42105263158
110,2023-04-21,31436.63157894737
111,2023-04-22,31675.657894736843
112,2023-04-23,31857.657894736843
113,2023-04-24,32030.315789473683
114,2023-04-25,30828.105263157893
115,2023-04-26,27775.947368421053
116,2023-04-27,25125.684210526317
117,2023-04-28,24117.36842105263
118,2023-04-29,24169.026315789473
119,2023-04-30,24297.236842105263
120,2023-05-01,24473.07894736842
121,2023-05-02,24482.28947368421
122,2023-05-03,24917.78947368421
123,2023-05-04,24911.21052631579
124,2023-05-05,24727.21052631579
125,2023-05-06,24739.894736842107
126,2023-05-07,25337.13157894737
127,2023-05-08,26492.78947368421
128,2023-05-09,27241.447368421053
129,2023-05-10,27769.342105263157
130,2023-05-11,28172.184210526317
131,2023-05-12,27914.526315789473
132,2023-05-13,27941.57894736842
133,2023-05-14,28086.447368421053
134,2023-05-15,28872.86842105263
135,2023-05-16,30000.526315789473
136,2023-05-17,30447.657894736843
137,2023-05-18,30532.71052631579
138,2023-05-19,30840.605263157893
139,2023-05-20,32425.92105263158
140,2023-05-21,33815.39473684211
141,2023-05-22,36516.94736842105
142,2023-05-23,36444.52631578947
143,2023-05-24,35953.13157894737
144,2023-05-25,35589.71052631579
145,2023-05-26,35951.34210526316
146,2023-05-27,36980.73684210526
147,2023-05-28,36732.94736842105
148,2023-05-29,36251.57894736842
149,2023-05-30,36931.36842105263
150,2023-05-31,37251.10526315789
151,2023-06-01,37330.92105263158
152,2023-06-02,37141.92105263158
153,2023-06-03,37122.39473684211
154,2023-06-04,37354.44736842105
155,2023-06-05,37307.28947368421
156,2023-06-06,37694.15789473684
157,2023-06-07,37328.78947368421
158,2023-06-08,37241.07894736842
159,2023-06-09,37354.71052631579
160,2023-06-10,37492.39473684211
161,2023-06-11,37311.21052631579
162,2023-06-12,36208.63157894737
163,2023-06-13,36053.57894736842
164,2023-06-14,35366.94736842105
165,2023-06-15,35066.94736842105
166,2023-06-16,34395.02631578947
167,2023-06-17,33689.05263157895
168,2023-06-18,32866.28947368421
169,2023-06-19,31155.07894736842
170,2023-06-20,31572.36842105263
171,2023-06-21,31653.105263157893
172,2023-06-22,31268.684210526317
173,2023-06-23,30876.36842105263
174,2023-06-24,30726.13157894737
175,2023-06-25,30441.052631578947
176,2023-06-26,30444.526315789473
177,2023-06-27,30415.552631578947
178,2023-06-28,29776.63157894737
179,2023-06-29,29774.236842105263
180,2023-06-30,30149.894736842107
181,2023-07-01,30702.973684210527
182,2023-07-02,30404.473684210527
183,2023-07-03,28407.315789473683
184,2023-07-04,27935.0
185,2023-07-05,27144.157894736843
186,2023-07-06,26240.657894736843
187,2023-07-07,26163.657894736843
188,2023-07-08,26555.315789473683
189,2023-07-09,27042.842105263157
190,2023-07-10,26655.315789473683
191,2023-07-11,26098.71052631579
192,2023-07-12,25813.21052631579
193,2023-07-13,25844.13157894737
194,2023-07-14,25894.815789473683
195,2023-07-15,26147.894736842107
196,2023-07-16,25987.842105263157
197,2023-07-17,25993.28947368421
198,2023-07-18,25752.71052631579
199,2023-07-19,25811.026315789473
200,2023-07-20,26587.07894736842
201,2023-07-21,27431.842105263157
202,2023-07-22,27611.026315789473
203,2023-07-23,27734.71052631579
204,2023-07-24,28500.92105263158
205,2023-07-25,29414.57894736842
206,2023-07-26,30676.63157894737
207,2023-07-27,31347.21052631579
208,2023-07-28,31406.36842105263
209,2023-07-29,31767.78947368421
210,2023-07-30,31908.605263157893
211,2023-07-31,33329.68421052631
212,2023-08-01,33923.73684210526
213,2023-08-02,34650.31578947369
214,2023-08-03,35224.63157894737
215,2023-08-04,35674.65789473684
216,2023-08-05,36181.65789473684
217,2023-08-06,36264.76315789474
218,2023-08-07,37803.78947368421
219,2023-08-08,38595.21052631579
220,2023-08-09,38789.26315789474
221,2023-08-10,38884.05263157895
222,2023-08-11,38947.42105263158
223,2023-08-12,39252.44736842105
224,2023-08-13,39237.28947368421
225,2023-08-14,39952.86842105263
226,2023-08-15,40724.63157894737
227,2023-08-16,41283.63157894737
228,2023-08-17,41111.23684210526
229,2023-08-18,41012.52631578947
230,2023-08-19,41258.84210526316
231,2023-08-20,41070.23684210526
232,2023-08-21,39859.44736842105
233,2023-08-22,39130.34210526316
234,2023-08-23,38494.81578947369
235,2023-08-24,36824.86842105263
236,2023-08-25,35836.21052631579
237,2023-08-26,35076.36842105263
238,2023-08-27,34398.97368421053
239,2023-08-28,31433.63157894737
240,2023-08-29,31001.947368421053
241,2023-08-30,29972.894736842107
242,2023-08-31,28932.263157894737
243,2023-09-01,28470.0
244,2023-09-02,28024.86842105263
245,2023-09-03,27640.86842105263
246,2023-09-04,26014.07894736842
247,2023-09-05,26492.36842105263
248,2023-09-06,26211.473684210527
249,2023-09-07,26095.263157894737
250,2023-09-08,25861.473684210527
251,2023-09-09,25916.736842105263
252,2023-09-10,25756.86842105263
253,2023-09-11,25153.973684210527
254,2023-09-12,25067.157894736843
255,2023-09-13,25043.71052631579
256,2023-09-14,24882.07894736842
257,2023-09-15,24669.13157894737
258,2023-09-16,24621.763157894737
259,2023-09-17,24757.07894736842
260,2023-09-18,24977.236842105263
261,2023-09-19,25336.473684210527
262,2023-09-20,25096.07894736842
263,2023-09-21,24951.736842105263
264,2023-09-22,25072.394736842107
265,2023-09-23,25473.052631578947
266,2023-09-24,25716.71052631579
267,2023-09-25,26318.657894736843
268,2023-09-26,26492.605263157893
269,2023-09-27,26581.57894736842
270,2023-09-28,26675.63157894737
271,2023-09-29,26851.78947368421
272,2023-09-30,27600.236842105263
273,2023-10-01,27804.71052631579
274,2023-10-02,30163.86842105263
275,2023-10-03,31335.605263157893
276,2023-10-04,32076.815789473683
277,2023-10-05,33887.10526315789
278,2023-10-06,35040.18421052631
279,2023-10-07,35063.92105263158
280,2023-10-08,35511.02631578947
281,2023-10-09,36482.07894736842
282,2023-10-10,37202.68421052631
283,2023-10-11,38358.81578947369
284,2023-10-12,39393.89473684211
285,2023-10-13,39245.65789473684
286,2023-10-14,39093.68421052631
287,2023-10-15,39389.78947368421
288,2023-10-16,41320.18421052631
289,2023-10-17,43007.05263157895
290,2023-10-18,43839.34210526316
291,2023-10-19,45127.92105263158
292,2023-10-20,45713.68421052631
293,2023-10-21,46673.10526315789
294,2023-10-22,47732.31578947369
295,2023-10-23,54047.65789473684
296,2023-10-24,55955.31578947369
297,2023-10-25,56521.76315789474
298,2023-10-26,57571.73684210526
299,2023-10-27,57901.84210526316
300,2023-10-28,60060.97368421053
301,2023-10-29,61602.89473684211
302,2023-10-30,65272.18421052631
303,2023-10-31,66150.05263157895
304,2023-11-01,65041.73684210526
305,2023-11-02,64432.26315789474
306,2023-11-03,66945.81578947368
307,2023-11-04,68443.26315789473
308,2023-11-05,68086.65789473684
309,2023-11-06,66415.6052631579
310,2023-11-07,66280.55263157895
311,2023-11-08,68515.8947368421
312,2023-11-09,70515.97368421052
313,2023-11-10,70420.18421052632
314,2023-11-11,69832.5
315,2023-11-12,69162.81578947368
316,2023-11-13,70476.15789473684
317,2023-11-14,71799.3947368421
318,2023-11-15,71999.42105263157
319,2023-11-16,72685.34210526316
320,2023-11-17,73337.97368421052
321,2023-11-18,73732.31578947368
322,2023-11-19,74328.78947368421
