Kabupaten Ponorogo	Rp17.500
Kabupaten Pamekasan	Rp16.500
Kabupaten Gresik	Rp16.000
Kabupaten Kediri	Rp16.000
Kabupaten Sampang	Rp16.000
Kabupaten Bojonegoro	Rp15.000
Kabupaten Sidoarjo	Rp15.000
Kota Mojokerto	Rp14.500
Kabupaten Jombang	Rp14.333
Kabupaten Ngawi	Rp14.333
Kabupaten Magetan	Rp13.666
Kabupaten Pasuruan	Rp13.666
Kota Kediri	Rp13.333
Kabupaten Nganjuk	Rp13.333
Kabupaten Tulungagung	Rp13.333
Kabupaten Lamongan	Rp13.250
Kabupaten Mojokerto	Rp13.000
Kota Blitar	Rp13.000
Kabupaten Pacitan	Rp12.666
Kota Pasuruan	Rp12.500
Kota Probolinggo	Rp12.333
Kabupaten Trenggalek	Rp12.000
Kota Batu	Rp12.000
Kota Surabaya	Rp11.500
Kabupaten Malang	Rp11.000
Kota Madiun	Rp11.000
Kabupaten Madiun	Rp10.750
Kabupaten Bangkalan	Rp10.333
Kabupaten Sumenep	Rp10.000
Kota Malang	Rp9.166
Kabupaten Situbondo	Rp9.000
Kabupaten Lumajang	Rp8.666
Kabupaten Banyuwangi	Rp8.600
Kabupaten Blitar	Rp8.500
Kabupaten Jember	Rp8.200
Kabupaten Bondowoso	Rp8.125
Kabupaten Tuban	Rp7.666
Kabupaten Probolinggo	Rp7.000
