Kabupaten Gresik	Rp18.000
Kabupaten Sidoarjo	Rp17.000
Kota Kediri	Rp15.000
Kabupaten Pamekasan	Rp15.000
Kabupaten Pasuruan	Rp15.000
Kabupaten Sampang	Rp15.000
Kabupaten Ponorogo	Rp14.500
Kabupaten Magetan	Rp14.333
Kabupaten Jombang	Rp14.000
Kabupaten Nganjuk	Rp14.000
Kabupaten Ngawi	Rp14.000
Kota Surabaya	Rp13.166
Kabupaten Kediri	Rp12.666
Kota Blitar	Rp12.500
Kabupaten Mojokerto	Rp12.250
Kota Batu	Rp12.250
Kabupaten Tulungagung	Rp12.000
Kota Pasuruan	Rp12.000
Kabupaten Pacitan	Rp11.666
Kabupaten Lamongan	Rp10.500
Kota Mojokerto	Rp10.500
Kabupaten Bojonegoro	Rp10.000
Kabupaten Trenggalek	Rp10.000
Kota Probolinggo	Rp9.666
Kabupaten Madiun	Rp9.500
Kabupaten Malang	Rp9.300
Kota Malang	Rp9.166
Kabupaten Sumenep	Rp9.000
Kota Madiun	Rp8.666
Kabupaten Jember	Rp8.600
Kabupaten Banyuwangi	Rp8.000
Kabupaten Lumajang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Tuban	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Bangkalan	Rp6.333
Kabupaten Probolinggo	Rp6.333
Kabupaten Bondowoso	Rp5.000
