Kabupaten Pamekasan	Rp12.000
Kabupaten Sidoarjo	Rp11.000
Kabupaten Ponorogo	Rp10.500
Kabupaten Sampang	Rp10.500
Kabupaten Pacitan	Rp10.333
Kabupaten Tulungagung	Rp10.333
Kabupaten Gresik	Rp10.000
Kabupaten Nganjuk	Rp10.000
Kabupaten Ngawi	Rp10.000
Kabupaten Trenggalek	Rp10.000
Kota Blitar	Rp10.000
Kota Batu	Rp9.750
Kota Kediri	Rp9.666
Kabupaten Magetan	Rp9.666
Kota Malang	Rp9.500
Kota Surabaya	Rp9.333
Kabupaten Jombang	Rp9.333
Kabupaten Pasuruan	Rp9.066
Kabupaten Bojonegoro	Rp9.000
Kabupaten Kediri	Rp9.000
Kabupaten Sumenep	Rp9.000
Kota Mojokerto	Rp9.000
Kota Pasuruan	Rp9.000
Kabupaten Mojokerto	Rp8.500
Kabupaten Lamongan	Rp8.250
Kabupaten Madiun	Rp8.250
Kabupaten Blitar	Rp8.000
Kota Madiun	Rp8.000
Kabupaten Malang	Rp7.700
Kabupaten Lumajang	Rp7.666
Kabupaten Tuban	Rp7.666
Kabupaten Banyuwangi	Rp7.400
Kabupaten Situbondo	Rp7.333
Kota Probolinggo	Rp7.000
Kabupaten Jember	Rp6.600
Kabupaten Probolinggo	Rp6.333
Kabupaten Bangkalan	Rp6.000
Kabupaten Bondowoso	Rp5.000
