Kabupaten Sampang	Rp13.000
Kabupaten Magetan	Rp10.833
Kota Kediri	Rp10.333
Kabupaten Pamekasan	Rp10.000
Kota Blitar	Rp10.000
Kabupaten Tulungagung	Rp9.666
Kabupaten Pacitan	Rp9.333
Kota Batu	Rp9.125
Kabupaten Ngawi	Rp9.000
Kabupaten Sumenep	Rp9.000
Kabupaten Gresik	Rp8.666
Kabupaten Ponorogo	Rp8.500
Kota Surabaya	Rp8.333
Kabupaten Madiun	Rp8.250
Kabupaten Pasuruan	Rp8.066
Kabupaten Bojonegoro	Rp8.000
Kabupaten Jombang	Rp8.000
Kabupaten Nganjuk	Rp8.000
Kota Madiun	Rp8.000
Kota Mojokerto	Rp8.000
Kota Malang	Rp7.666
Kabupaten Lumajang	Rp7.666
Kabupaten Situbondo	Rp7.666
Kabupaten Blitar	Rp7.500
Kabupaten Trenggalek	Rp7.500
Kabupaten Lamongan	Rp7.375
Kabupaten Mojokerto	Rp7.375
Kabupaten Kediri	Rp7.333
Kabupaten Banyuwangi	Rp7.200
Kabupaten Jember	Rp7.000
Kabupaten Sidoarjo	Rp7.000
Kabupaten Tuban	Rp7.000
Kota Probolinggo	Rp7.000
Kabupaten Probolinggo	Rp6.333
Kabupaten Malang	Rp6.200
Kabupaten Bangkalan	Rp6.000
Kota Pasuruan	Rp5.950
Kabupaten Bondowoso	Rp5.250
