no,tanggal,hrg
0,2024-06-02,42490.18421052631
1,2024-06-03,40284.92105263158
2,2024-06-04,39563.23684210526
3,2024-06-05,39027.71052631579
4,2024-06-06,38481.84210526316
5,2024-06-07,37611.68421052631
6,2024-06-08,37381.89473684211
7,2024-06-09,37306.44736842105
8,2024-06-10,36637.13157894737
9,2024-06-11,36350.05263157895
10,2024-06-12,36373.31578947369
11,2024-06-13,36038.47368421053
12,2024-06-14,36172.42105263158
13,2024-06-15,26600.763157894737
