tanggal,hrg
2023-01-01,52189.5
2023-01-02,58995.42105263158
2023-01-03,60427.89473684211
2023-01-04,58697.15789473684
2023-01-05,56529.28947368421
2023-01-06,56339.55263157895
2023-01-07,57776.84210526316
2023-01-08,57018.73684210526
2023-01-09,55783.44736842105
2023-01-10,54374.68421052631
2023-01-11,52574.60526315789
2023-01-12,51725.26315789474
2023-01-13,50582.47368421053
2023-01-14,49497.89473684211
2023-01-15,47910.60526315789
2023-01-16,43279.68421052631
2023-01-17,43617.78947368421
2023-01-18,45780.97368421053
2023-01-19,46233.57894736842
2023-01-20,45856.39473684211
2023-01-21,45487.78947368421
2023-01-22,45224.36842105263
2023-01-23,46771.73684210526
2023-01-24,49256.42105263158
2023-01-25,49204.65789473684
2023-01-26,49295.84210526316
2023-01-27,49744.78947368421
2023-01-28,49640.63157894737
2023-01-29,49547.42105263158
2023-01-30,49882.73684210526
2023-01-31,49840.86842105263
2023-02-01,49191.05263157895
2023-02-02,48150.73684210526
2023-02-03,48193.89473684211
2023-02-04,49136.89473684211
2023-02-05,50459.05263157895
2023-02-06,53358.63157894737
2023-02-07,54289.34210526316
2023-02-08,54259.02631578947
2023-02-09,54494.13157894737
2023-02-10,55572.23684210526
2023-02-11,56593.07894736842
2023-02-12,56941.73684210526
2023-02-13,58470.89473684211
2023-02-14,58590.0
2023-02-15,58771.81578947369
2023-02-16,60517.42105263158
2023-02-17,61340.13157894737
2023-02-18,61671.78947368421
2023-02-19,61321.55263157895
2023-02-20,60809.26315789474
2023-02-21,60554.89473684211
2023-02-22,61229.02631578947
2023-02-23,60989.34210526316
2023-02-24,60782.34210526316
2023-02-25,60587.78947368421
2023-02-26,60107.52631578947
2023-02-27,57971.78947368421
2023-02-28,57774.15789473684
2023-03-01,58233.15789473684
2023-03-02,59782.02631578947
2023-03-03,63060.63157894737
2023-03-04,65068.23684210526
2023-03-05,66397.18421052632
2023-03-06,70951.42105263157
2023-03-07,71507.28947368421
2023-03-08,71179.86842105263
2023-03-09,71429.21052631579
2023-03-10,72137.52631578948
2023-03-11,72928.34210526316
2023-03-12,73138.0
2023-03-13,74131.42105263157
2023-03-14,74640.6052631579
2023-03-15,74970.8947368421
2023-03-16,76185.73684210527
2023-03-17,76698.47368421052
2023-03-18,76115.13157894737
2023-03-19,76129.0
2023-03-20,75571.76315789473
2023-03-21,74975.5
2023-03-22,74466.97368421052
2023-03-23,73188.0
2023-03-24,73324.78947368421
2023-03-25,73528.73684210527
2023-03-26,72608.57894736843
2023-03-27,65540.63157894737
2023-03-28,56109.28947368421
2023-03-29,51544.73684210526
2023-03-30,52083.60526315789
2023-03-31,50405.34210526316
2023-04-01,46324.39473684211
2023-04-02,45197.23684210526
2023-04-03,40507.76315789474
2023-04-04,38862.13157894737
2023-04-05,36705.07894736842
2023-04-06,35678.84210526316
2023-04-07,34850.34210526316
2023-04-08,33956.02631578947
2023-04-09,33119.60526315789
2023-04-10,30763.86842105263
2023-04-11,29968.71052631579
2023-04-12,29627.447368421053
2023-04-13,28720.447368421053
2023-04-14,28063.052631578947
2023-04-15,28030.315789473683
2023-04-16,28035.552631578947
2023-04-17,27190.157894736843
2023-04-18,29487.78947368421
2023-04-19,30683.0
2023-04-20,30077.42105263158
2023-04-21,31436.63157894737
2023-04-22,31675.657894736843
2023-04-23,31857.657894736843
2023-04-24,32030.315789473683
2023-04-25,30828.105263157893
2023-04-26,27775.947368421053
2023-04-27,25125.684210526317
2023-04-28,24117.36842105263
2023-04-29,24169.026315789473
2023-04-30,24297.236842105263
2023-05-01,24473.07894736842
2023-05-02,24482.28947368421
2023-05-03,24917.78947368421
2023-05-04,24911.21052631579
2023-05-05,24727.21052631579
2023-05-06,24739.894736842107
2023-05-07,25337.13157894737
2023-05-08,26492.78947368421
2023-05-09,27241.447368421053
2023-05-10,27769.342105263157
2023-05-11,28172.184210526317
2023-05-12,27914.526315789473
2023-05-13,27941.57894736842
2023-05-14,28086.447368421053
2023-05-15,28872.86842105263
2023-05-16,30000.526315789473
2023-05-17,30447.657894736843
2023-05-18,30532.71052631579
2023-05-19,30840.605263157893
2023-05-20,32425.92105263158
2023-05-21,33815.39473684211
2023-05-22,36516.94736842105
2023-05-23,36444.52631578947
2023-05-24,35953.13157894737
2023-05-25,35589.71052631579
2023-05-26,35951.34210526316
2023-05-27,36980.73684210526
2023-05-28,36732.94736842105
2023-05-29,36251.57894736842
2023-05-30,36931.36842105263
2023-05-31,37251.10526315789
2023-06-01,37330.92105263158
2023-06-02,37141.92105263158
2023-06-03,37122.39473684211
2023-06-04,37354.44736842105
2023-06-05,37307.28947368421
2023-06-06,37694.15789473684
2023-06-07,37328.78947368421
2023-06-08,37241.07894736842
2023-06-09,37354.71052631579
2023-06-10,37492.39473684211
2023-06-11,37311.21052631579
2023-06-12,36208.63157894737
2023-06-13,36053.57894736842
2023-06-14,35366.94736842105
2023-06-15,35066.94736842105
2023-06-16,34395.02631578947
2023-06-17,33689.05263157895
2023-06-18,32866.28947368421
2023-06-19,31155.07894736842
2023-06-20,31572.36842105263
2023-06-21,31653.105263157893
2023-06-22,31268.684210526317
2023-06-23,30876.36842105263
2023-06-24,30726.13157894737
2023-06-25,30441.052631578947
2023-06-26,30444.526315789473
2023-06-27,30415.552631578947
2023-06-28,29776.63157894737
2023-06-29,29774.236842105263
2023-06-30,30149.894736842107
2023-07-01,30702.973684210527
2023-07-02,30404.473684210527
2023-07-03,28407.315789473683
2023-07-04,27935.0
2023-07-05,27144.157894736843
2023-07-06,26240.657894736843
2023-07-07,26163.657894736843
2023-07-08,26555.315789473683
2023-07-09,27042.842105263157
2023-07-10,26655.315789473683
2023-07-11,26098.71052631579
2023-07-12,25813.21052631579
2023-07-13,25844.13157894737
2023-07-14,25894.815789473683
2023-07-15,26147.894736842107
2023-07-16,25987.842105263157
2023-07-17,25993.28947368421
2023-07-18,25752.71052631579
2023-07-19,25811.026315789473
2023-07-20,26587.07894736842
2023-07-21,27431.842105263157
2023-07-22,27611.026315789473
