no,tanggal,hrg
0,2023-01-01,7039.105263157895
1,2023-01-02,7061.026315789473
2,2023-01-03,7065.394736842105
3,2023-01-04,7068.684210526316
4,2023-01-05,7086.236842105263
5,2023-01-06,7073.078947368421
6,2023-01-07,7102.473684210527
7,2023-01-08,7102.473684210527
8,2023-01-09,7104.684210526316
9,2023-01-10,7101.394736842105
10,2023-01-11,7086.0526315789475
11,2023-01-12,7099.210526315789
12,2023-01-13,7118.5
13,2023-01-14,7122.868421052632
14,2023-01-15,7118.921052631579
15,2023-01-16,7125.9473684210525
16,2023-01-17,7111.473684210527
17,2023-01-18,7117.631578947368
18,2023-01-19,7116.973684210527
19,2023-01-20,7112.578947368421
20,2023-01-21,7109.289473684211
21,2023-01-22,7109.289473684211
22,2023-01-23,7082.973684210527
23,2023-01-24,7076.184210526316
24,2023-01-25,7065.6578947368425
25,2023-01-26,7059.078947368421
26,2023-01-27,7059.078947368421
27,2023-01-28,7059.078947368421
28,2023-01-29,7059.078947368421
29,2023-01-30,7066.763157894737
30,2023-01-31,7066.763157894737
31,2023-02-01,7016.763157894737
32,2023-02-02,6998.105263157895
33,2023-02-03,7002.5
34,2023-02-04,7021.131578947368
35,2023-02-05,7021.131578947368
36,2023-02-06,6987.789473684211
37,2023-02-07,6968.0526315789475
38,2023-02-08,6964.763157894737
39,2023-02-09,6959.263157894737
40,2023-02-10,6964.184210526316
41,2023-02-11,6968.578947368421
42,2023-02-12,6964.184210526316
43,2023-02-13,6986.131578947368
44,2023-02-14,6990.5
45,2023-02-15,6977.3421052631575
46,2023-02-16,6974.0526315789475
47,2023-02-17,6974.026315789473
48,2023-02-18,6969.684210526316
49,2023-02-19,6963.105263157895
50,2023-02-20,6959.815789473684
51,2023-02-21,6978.4473684210525
52,2023-02-22,6981.736842105263
53,2023-02-23,6980.105263157895
54,2023-02-24,6983.394736842105
55,2023-02-25,6983.394736842105
56,2023-02-26,6983.394736842105
57,2023-02-27,6968.921052631579
58,2023-02-28,6975.5
59,2023-03-01,6968.921052631579
60,2023-03-02,6971.105263157895
61,2023-03-03,6974.394736842105
62,2023-03-04,6974.394736842105
63,2023-03-05,6977.026315789473
64,2023-03-06,6963.868421052632
65,2023-03-07,6978.131578947368
66,2023-03-08,6977.026315789473
67,2023-03-09,6972.6578947368425
68,2023-03-10,6969.368421052632
69,2023-03-11,6972.0
70,2023-03-12,6967.605263157895
71,2023-03-13,6974.184210526316
72,2023-03-14,6977.473684210527
73,2023-03-15,6975.263157894737
74,2023-03-16,6985.131578947368
75,2023-03-17,6989.973684210527
76,2023-03-18,6989.973684210527
77,2023-03-19,6989.973684210527
78,2023-03-20,6989.526315789473
79,2023-03-21,6993.894736842105
80,2023-03-22,7002.684210526316
81,2023-03-23,7005.973684210527
82,2023-03-24,7001.578947368421
83,2023-03-25,7003.131578947368
84,2023-03-26,7011.894736842105
85,2023-03-27,7011.894736842105
86,2023-03-28,7011.894736842105
87,2023-03-29,7015.184210526316
88,2023-03-30,6997.631578947368
89,2023-03-31,6997.631578947368
90,2023-04-01,7018.473684210527
91,2023-04-02,7018.473684210527
92,2023-04-03,7018.473684210527
93,2023-04-04,7027.236842105263
94,2023-04-05,7024.605263157895
95,2023-04-06,7024.605263157895
96,2023-04-07,7019.131578947368
97,2023-04-08,7019.131578947368
98,2023-04-09,7023.078947368421
99,2023-04-10,7023.0526315789475
100,2023-04-11,7005.973684210527
101,2023-04-12,7012.5526315789475
102,2023-04-13,7003.3421052631575
103,2023-04-14,7003.3421052631575
104,2023-04-15,7003.3421052631575
105,2023-04-16,7005.973684210527
106,2023-04-17,7015.631578947368
107,2023-04-18,7001.368421052632
108,2023-04-19,7001.368421052632
109,2023-04-20,7004.0
110,2023-04-21,7002.236842105263
111,2023-04-22,7002.236842105263
112,2023-04-23,6997.8421052631575
113,2023-04-24,6994.5526315789475
114,2023-04-25,6994.5526315789475
115,2023-04-26,7015.1578947368425
116,2023-04-27,7022.8421052631575
117,2023-04-28,7023.9473684210525
118,2023-04-29,7032.710526315789
119,2023-04-30,7041.921052631579
120,2023-05-01,7041.921052631579
121,2023-05-02,7055.105263157895
122,2023-05-03,7064.973684210527
123,2023-05-04,7064.973684210527
124,2023-05-05,7064.973684210527
125,2023-05-06,7061.684210526316
126,2023-05-07,7066.078947368421
127,2023-05-08,7066.078947368421
128,2023-05-09,7093.921052631579
129,2023-05-10,7079.026315789473
130,2023-05-11,7092.184210526316
131,2023-05-12,7099.184210526316
132,2023-05-13,7103.5526315789475
133,2023-05-14,7103.5526315789475
134,2023-05-15,7100.921052631579
135,2023-05-16,7098.289473684211
136,2023-05-17,7104.4473684210525
137,2023-05-18,7090.631578947368
138,2023-05-19,7102.473684210527
139,2023-05-20,7103.3421052631575
140,2023-05-21,7103.3421052631575
141,2023-05-22,7104.4473684210525
142,2023-05-23,7105.526315789473
143,2023-05-24,7073.368421052632
144,2023-05-25,7078.3421052631575
145,2023-05-26,7078.3421052631575
146,2023-05-27,7083.605263157895
147,2023-05-28,7086.894736842105
148,2023-05-29,7109.263157894737
149,2023-05-30,7106.631578947368
150,2023-05-31,7110.131578947368
151,2023-06-01,7110.131578947368
152,2023-06-02,7112.9473684210525
153,2023-06-03,7112.9473684210525
154,2023-06-04,7114.526315789473
155,2023-06-05,7114.5
156,2023-06-06,7159.894736842105
157,2023-06-07,7159.894736842105
158,2023-06-08,7177.4473684210525
159,2023-06-09,7174.1578947368425
160,2023-06-10,7177.4473684210525
161,2023-06-11,7177.4473684210525
162,2023-06-12,7165.1578947368425
