tanggal,hrg
2023-01-01,27253.394736842107
2023-01-02,27266.552631578947
2023-01-03,27246.815789473683
2023-01-04,27238.052631578947
2023-01-05,27225.526315789473
2023-01-06,27210.657894736843
2023-01-07,27222.052631578947
2023-01-08,27210.21052631579
2023-01-09,27151.21052631579
2023-01-10,27154.5
2023-01-11,27184.105263157893
2023-01-12,27184.105263157893
2023-01-13,27193.973684210527
2023-01-14,27203.842105263157
2023-01-15,27195.052631578947
2023-01-16,27175.105263157893
2023-01-17,27188.026315789473
2023-01-18,27159.28947368421
2023-01-19,27162.57894736842
2023-01-20,27182.315789473683
2023-01-21,27163.684210526317
2023-01-22,27166.973684210527
2023-01-23,27180.13157894737
2023-01-24,27175.763157894737
2023-01-25,27172.473684210527
2023-01-26,27188.92105263158
2023-01-27,27188.894736842107
2023-01-28,27187.78947368421
2023-01-29,27152.684210526317
2023-01-30,27129.894736842107
2023-01-31,27152.052631578947
2023-02-01,27151.63157894737
2023-02-02,27141.763157894737
2023-02-03,27141.763157894737
2023-02-04,27175.763157894737
2023-02-05,27188.92105263158
2023-02-06,27330.157894736843
2023-02-07,27257.78947368421
2023-02-08,27246.815789473683
2023-02-09,27246.815789473683
2023-02-10,27241.552631578947
2023-02-11,27262.394736842107
2023-02-12,27273.13157894737
2023-02-13,27316.973684210527
2023-02-14,27356.236842105263
2023-02-15,27370.684210526317
2023-02-16,27392.184210526317
2023-02-17,27372.447368421053
2023-02-18,27361.526315789473
2023-02-19,27368.052631578947
2023-02-20,27449.42105263158
2023-02-21,27453.815789473683
2023-02-22,27470.92105263158
2023-02-23,27456.0
2023-02-24,27482.763157894737
2023-02-25,27500.315789473683
2023-02-26,27500.42105263158
2023-02-27,27487.157894736843
2023-02-28,27520.026315789473
2023-03-01,27533.184210526317
2023-03-02,27573.552631578947
2023-03-03,27620.447368421053
2023-03-04,27594.157894736843
2023-03-05,27611.71052631579
2023-03-06,27682.973684210527
2023-03-07,27719.394736842107
2023-03-08,27715.0
2023-03-09,27747.052631578947
2023-03-10,27733.894736842107
2023-03-11,27773.36842105263
2023-03-12,27773.36842105263
2023-03-13,27887.394736842107
2023-03-14,27895.947368421053
2023-03-15,27947.473684210527
2023-03-16,27976.842105263157
2023-03-17,28007.526315789473
2023-03-18,28007.526315789473
2023-03-19,28064.552631578947
2023-03-20,28083.394736842107
2023-03-21,28135.57894736842
2023-03-22,28121.315789473683
2023-03-23,28108.157894736843
2023-03-24,28107.07894736842
2023-03-25,28107.07894736842
2023-03-26,28145.684210526317
2023-03-27,28203.842105263157
2023-03-28,28211.736842105263
2023-03-29,28271.394736842107
2023-03-30,28309.763157894737
2023-03-31,28365.894736842107
2023-04-01,28351.184210526317
2023-04-02,28343.736842105263
2023-04-03,28437.57894736842
2023-04-04,28458.42105263158
2023-04-05,28519.815789473683
2023-04-06,28516.315789473683
2023-04-07,28497.657894736843
2023-04-08,28572.86842105263
2023-04-09,28573.763157894737
2023-04-10,28690.86842105263
2023-04-11,28711.657894736843
2023-04-12,28724.815789473683
2023-04-13,28743.447368421053
2023-04-14,28729.21052631579
2023-04-15,28719.13157894737
2023-04-16,28718.157894736843
2023-04-17,28736.684210526317
