no,tanggal,hrg
0,2023-01-01,9628.973684210527
1,2023-01-02,9681.657894736842
2,2023-01-03,9595.473684210527
3,2023-01-04,9571.131578947368
4,2023-01-05,9622.026315789473
5,2023-01-06,9606.105263157895
6,2023-01-07,9629.315789473685
7,2023-01-08,9575.736842105263
8,2023-01-09,9540.842105263158
9,2023-01-10,9459.0
10,2023-01-11,9473.342105263158
11,2023-01-12,9472.236842105263
12,2023-01-13,9545.684210526315
13,2023-01-14,9517.184210526315
14,2023-01-15,9470.263157894737
15,2023-01-16,9421.815789473685
16,2023-01-17,9434.5
17,2023-01-18,9538.657894736842
18,2023-01-19,9503.815789473685
19,2023-01-20,9516.631578947368
20,2023-01-21,9511.71052631579
21,2023-01-22,9508.5
22,2023-01-23,9518.052631578947
23,2023-01-24,9627.236842105263
24,2023-01-25,9582.263157894737
25,2023-01-26,9502.21052631579
26,2023-01-27,9463.842105263158
27,2023-01-28,9457.921052631578
28,2023-01-29,9449.157894736842
29,2023-01-30,9319.78947368421
30,2023-01-31,9291.368421052632
31,2023-02-01,9243.71052631579
32,2023-02-02,9279.894736842105
33,2023-02-03,9059.526315789473
34,2023-02-04,9049.894736842105
35,2023-02-05,9009.78947368421
36,2023-02-06,8857.815789473685
37,2023-02-07,8637.578947368422
38,2023-02-08,8558.342105263158
39,2023-02-09,8462.78947368421
40,2023-02-10,8341.71052631579
41,2023-02-11,8343.947368421053
42,2023-02-12,8306.447368421053
43,2023-02-13,8196.157894736842
44,2023-02-14,8182.315789473684
45,2023-02-15,8030.078947368421
46,2023-02-16,8020.184210526316
47,2023-02-17,7992.789473684211
48,2023-02-18,7979.605263157895
49,2023-02-19,7965.368421052632
50,2023-02-20,7967.605263157895
51,2023-02-21,7931.210526315789
52,2023-02-22,7943.289473684211
53,2023-02-23,7927.684210526316
54,2023-02-24,7897.0
55,2023-02-25,7942.184210526316
56,2023-02-26,7910.710526315789
57,2023-02-27,7925.763157894737
58,2023-02-28,7819.3421052631575
59,2023-03-01,7829.236842105263
60,2023-03-02,7770.026315789473
61,2023-03-03,7784.263157894737
