no,city,year,commodity,price
1,Kabupaten Pamekasan,2024-03-07,kol,9000
2,Kabupaten Madiun,2024-03-07,kol,8250
3,Kota Batu,2024-03-07,kol,8250
4,Kota Surabaya,2024-03-07,kol,8000
5,Kota Malang,2024-03-07,kol,8000
6,Kabupaten Gresik,2024-03-07,kol,8000
7,Kabupaten Pacitan,2024-03-07,kol,8000
8,Kabupaten Ngawi,2024-03-07,kol,7666
9,Kota Madiun,2024-03-07,kol,7666
10,Kabupaten Ponorogo,2024-03-07,kol,7500
11,Kabupaten Sampang,2024-03-07,kol,7500
12,Kabupaten Trenggalek,2024-03-07,kol,7500
13,Kota Blitar,2024-03-07,kol,7500
14,Kabupaten Jombang,2024-03-07,kol,7333
15,Kabupaten Situbondo,2024-03-07,kol,7333
16,Kabupaten Tuban,2024-03-07,kol,7166
17,Kabupaten Blitar,2024-03-07,kol,7000
18,Kabupaten Bojonegoro,2024-03-07,kol,7000
19,Kabupaten Lamongan,2024-03-07,kol,7000
20,Kabupaten Sumenep,2024-03-07,kol,7000
21,Kabupaten Tulungagung,2024-03-07,kol,7000
22,Kabupaten Magetan,2024-03-07,kol,6833
23,Kabupaten Banyuwangi,2024-03-07,kol,6800
24,Kabupaten Kediri,2024-03-07,kol,6666
25,Kabupaten Lumajang,2024-03-07,kol,6666
26,Kabupaten Pasuruan,2024-03-07,kol,6500
27,Kabupaten Sidoarjo,2024-03-07,kol,6500
28,Kota Kediri,2024-03-07,kol,6333
29,Kabupaten Bangkalan,2024-03-07,kol,6333
30,Kabupaten Probolinggo,2024-03-07,kol,6333
31,Kabupaten Nganjuk,2024-03-07,kol,6000
32,Kota Mojokerto,2024-03-07,kol,6000
33,Kota Pasuruan,2024-03-07,kol,5850
34,Kabupaten Mojokerto,2024-03-07,kol,5700
35,Kabupaten Jember,2024-03-07,kol,5600
36,Kabupaten Malang,2024-03-07,kol,5400
37,Kabupaten Bondowoso,2024-03-07,kol,5000
38,Kota Probolinggo,2024-03-07,kol,4666
