no,city,year,commodity,price
1,Kota Batu,2024-05-13,kentang,18250
2,Kabupaten Bojonegoro,2024-05-13,kentang,18000
3,Kabupaten Gresik,2024-05-13,kentang,18000
4,Kabupaten Lamongan,2024-05-13,kentang,18000
5,Kabupaten Tuban,2024-05-13,kentang,18000
6,Kabupaten Pacitan,2024-05-13,kentang,17000
7,Kota Kediri,2024-05-13,kentang,16666
8,Kota Blitar,2024-05-13,kentang,16500
9,Kabupaten Jombang,2024-05-13,kentang,16333
10,Kabupaten Ngawi,2024-05-13,kentang,16333
11,Kabupaten Tulungagung,2024-05-13,kentang,16000
12,Kabupaten Magetan,2024-05-13,kentang,15833
13,Kota Surabaya,2024-05-13,kentang,15666
14,Kota Madiun,2024-05-13,kentang,15666
15,Kabupaten Banyuwangi,2024-05-13,kentang,15600
16,Kabupaten Ponorogo,2024-05-13,kentang,15500
17,Kabupaten Sampang,2024-05-13,kentang,15500
18,Kota Mojokerto,2024-05-13,kentang,15500
19,Kabupaten Bangkalan,2024-05-13,kentang,15333
20,Kabupaten Kediri,2024-05-13,kentang,15333
21,Kabupaten Situbondo,2024-05-13,kentang,15333
22,Kabupaten Mojokerto,2024-05-13,kentang,15250
23,Kabupaten Malang,2024-05-13,kentang,15200
24,Kabupaten Blitar,2024-05-13,kentang,15000
25,Kabupaten Lumajang,2024-05-13,kentang,15000
26,Kabupaten Nganjuk,2024-05-13,kentang,15000
27,Kabupaten Pamekasan,2024-05-13,kentang,15000
28,Kabupaten Pasuruan,2024-05-13,kentang,15000
29,Kabupaten Sidoarjo,2024-05-13,kentang,15000
30,Kabupaten Sumenep,2024-05-13,kentang,15000
31,Kota Malang,2024-05-13,kentang,14833
32,Kabupaten Jember,2024-05-13,kentang,14800
33,Kabupaten Madiun,2024-05-13,kentang,14750
34,Kabupaten Trenggalek,2024-05-13,kentang,14500
35,Kabupaten Bondowoso,2024-05-13,kentang,14375
36,Kota Probolinggo,2024-05-13,kentang,14333
37,Kabupaten Probolinggo,2024-05-13,kentang,13666
38,Kota Pasuruan,2024-05-13,kentang,13650
