no,city,year,commodity,price
1,Kabupaten Gresik,2024-01-27,kentang,21333
2,Kabupaten Sampang,2024-01-27,kentang,21000
3,Kota Kediri,2024-01-27,kentang,19666
4,Kabupaten Bojonegoro,2024-01-27,kentang,19500
5,Kabupaten Pacitan,2024-01-27,kentang,19333
6,Kota Batu,2024-01-27,kentang,19000
7,Kota Mojokerto,2024-01-27,kentang,19000
8,Kabupaten Pasuruan,2024-01-27,kentang,18900
9,Kabupaten Nganjuk,2024-01-27,kentang,18666
10,Kabupaten Tuban,2024-01-27,kentang,18666
11,Kabupaten Bangkalan,2024-01-27,kentang,18333
12,Kabupaten Kediri,2024-01-27,kentang,18333
13,Kabupaten Ngawi,2024-01-27,kentang,18333
14,Kabupaten Madiun,2024-01-27,kentang,18250
15,Kabupaten Jember,2024-01-27,kentang,18200
16,Kabupaten Lamongan,2024-01-27,kentang,18000
17,Kabupaten Ponorogo,2024-01-27,kentang,18000
18,Kabupaten Trenggalek,2024-01-27,kentang,18000
19,Kabupaten Tulungagung,2024-01-27,kentang,17666
20,Kabupaten Malang,2024-01-27,kentang,17600
21,Kabupaten Magetan,2024-01-27,kentang,17500
22,Kota Pasuruan,2024-01-27,kentang,17200
23,Kabupaten Pamekasan,2024-01-27,kentang,17000
24,Kota Blitar,2024-01-27,kentang,17000
25,Kabupaten Banyuwangi,2024-01-27,kentang,16800
26,Kabupaten Jombang,2024-01-27,kentang,16666
27,Kabupaten Lumajang,2024-01-27,kentang,16666
28,Kota Malang,2024-01-27,kentang,16500
29,Kota Surabaya,2024-01-27,kentang,16333
30,Kota Madiun,2024-01-27,kentang,16333
31,Kabupaten Sidoarjo,2024-01-27,kentang,16000
32,Kabupaten Sumenep,2024-01-27,kentang,15500
33,Kabupaten Blitar,2024-01-27,kentang,15000
34,Kabupaten Mojokerto,2024-01-27,kentang,15000
35,Kota Probolinggo,2024-01-27,kentang,15000
36,Kabupaten Probolinggo,2024-01-27,kentang,14666
37,Kabupaten Situbondo,2024-01-27,kentang,14666
38,Kabupaten Bondowoso,2024-01-27,kentang,14125
