no,city,year,commodity,price
1,Kabupaten Gresik,2024-01-09,kentang,18333
2,Kota Batu,2024-01-09,kentang,18250
3,Kabupaten Bangkalan,2024-01-09,kentang,18000
4,Kabupaten Bojonegoro,2024-01-09,kentang,18000
5,Kota Mojokerto,2024-01-09,kentang,18000
6,Kabupaten Sampang,2024-01-09,kentang,17500
7,Kabupaten Tuban,2024-01-09,kentang,17333
8,Kabupaten Lamongan,2024-01-09,kentang,17250
9,Kota Kediri,2024-01-09,kentang,17000
10,Kabupaten Pasuruan,2024-01-09,kentang,17000
11,Kabupaten Kediri,2024-01-09,kentang,16833
12,Kabupaten Ngawi,2024-01-09,kentang,16666
13,Kabupaten Pamekasan,2024-01-09,kentang,16500
14,Kabupaten Banyuwangi,2024-01-09,kentang,16400
15,Kabupaten Magetan,2024-01-09,kentang,16333
16,Kabupaten Nganjuk,2024-01-09,kentang,16166
17,Kota Surabaya,2024-01-09,kentang,16000
18,Kabupaten Sidoarjo,2024-01-09,kentang,16000
19,Kabupaten Trenggalek,2024-01-09,kentang,16000
20,Kota Blitar,2024-01-09,kentang,16000
21,Kabupaten Jember,2024-01-09,kentang,15800
22,Kota Malang,2024-01-09,kentang,15666
23,Kabupaten Madiun,2024-01-09,kentang,15500
24,Kabupaten Mojokerto,2024-01-09,kentang,15500
25,Kabupaten Sumenep,2024-01-09,kentang,15500
26,Kabupaten Malang,2024-01-09,kentang,15400
27,Kabupaten Pacitan,2024-01-09,kentang,15333
28,Kabupaten Tulungagung,2024-01-09,kentang,15333
29,Kota Pasuruan,2024-01-09,kentang,15200
30,Kabupaten Blitar,2024-01-09,kentang,15000
31,Kabupaten Jombang,2024-01-09,kentang,15000
32,Kabupaten Ponorogo,2024-01-09,kentang,15000
33,Kota Madiun,2024-01-09,kentang,14666
34,Kabupaten Bondowoso,2024-01-09,kentang,14125
35,Kabupaten Probolinggo,2024-01-09,kentang,13666
36,Kabupaten Situbondo,2024-01-09,kentang,13333
37,Kabupaten Lumajang,2024-01-09,kentang,13000
38,Kota Probolinggo,2024-01-09,kentang,12666
