no,city,year,commodity,price
1,Kabupaten Bojonegoro,2024-02-13,kentang,20000
2,Kabupaten Sampang,2024-02-13,kentang,20000
3,Kota Blitar,2024-02-13,kentang,20000
4,Kota Kediri,2024-02-13,kentang,19666
5,Kabupaten Gresik,2024-02-13,kentang,19666
6,Kabupaten Lamongan,2024-02-13,kentang,19500
7,Kabupaten Tuban,2024-02-13,kentang,19333
8,Kabupaten Jombang,2024-02-13,kentang,19000
9,Kota Batu,2024-02-13,kentang,18625
10,Kabupaten Magetan,2024-02-13,kentang,18500
11,Kabupaten Sidoarjo,2024-02-13,kentang,18500
12,Kota Mojokerto,2024-02-13,kentang,18500
13,Kabupaten Nganjuk,2024-02-13,kentang,18333
14,Kabupaten Ngawi,2024-02-13,kentang,18333
15,Kabupaten Kediri,2024-02-13,kentang,18166
16,Kabupaten Bangkalan,2024-02-13,kentang,18000
17,Kabupaten Madiun,2024-02-13,kentang,17750
18,Kabupaten Pasuruan,2024-02-13,kentang,17666
19,Kabupaten Pamekasan,2024-02-13,kentang,17500
20,Kabupaten Ponorogo,2024-02-13,kentang,17500
21,Kabupaten Pacitan,2024-02-13,kentang,17333
22,Kota Probolinggo,2024-02-13,kentang,17333
23,Kota Pasuruan,2024-02-13,kentang,17250
24,Kabupaten Jember,2024-02-13,kentang,17200
25,Kota Malang,2024-02-13,kentang,17000
26,Kabupaten Tulungagung,2024-02-13,kentang,17000
27,Kota Madiun,2024-02-13,kentang,17000
28,Kabupaten Banyuwangi,2024-02-13,kentang,16700
29,Kota Surabaya,2024-02-13,kentang,16500
30,Kabupaten Trenggalek,2024-02-13,kentang,16500
31,Kabupaten Malang,2024-02-13,kentang,16400
32,Kabupaten Lumajang,2024-02-13,kentang,16000
33,Kabupaten Situbondo,2024-02-13,kentang,16000
34,Kabupaten Sumenep,2024-02-13,kentang,15500
35,Kabupaten Bondowoso,2024-02-13,kentang,15375
36,Kabupaten Mojokerto,2024-02-13,kentang,15125
37,Kabupaten Blitar,2024-02-13,kentang,15000
38,Kabupaten Probolinggo,2024-02-13,kentang,14666
