no,city,year,commodity,price
1,Kabupaten Sampang,2024-04-01,kentang,19500
2,Kabupaten Tuban,2024-04-01,kentang,19333
3,Kabupaten Gresik,2024-04-01,kentang,18333
4,Kabupaten Lamongan,2024-04-01,kentang,18250
5,Kota Batu,2024-04-01,kentang,18250
6,Kabupaten Pamekasan,2024-04-01,kentang,18000
7,Kota Surabaya,2024-04-01,kentang,17000
8,Kabupaten Pacitan,2024-04-01,kentang,16666
9,Kota Madiun,2024-04-01,kentang,16333
10,Kabupaten Bojonegoro,2024-04-01,kentang,16000
11,Kabupaten Ponorogo,2024-04-01,kentang,16000
12,Kabupaten Tulungagung,2024-04-01,kentang,16000
13,Kota Blitar,2024-04-01,kentang,16000
14,Kota Malang,2024-04-01,kentang,15666
15,Kabupaten Lumajang,2024-04-01,kentang,15666
16,Kabupaten Ngawi,2024-04-01,kentang,15666
17,Kabupaten Magetan,2024-04-01,kentang,15500
18,Kabupaten Sumenep,2024-04-01,kentang,15500
19,Kota Mojokerto,2024-04-01,kentang,15500
20,Kabupaten Bangkalan,2024-04-01,kentang,15333
21,Kabupaten Nganjuk,2024-04-01,kentang,15333
22,Kabupaten Banyuwangi,2024-04-01,kentang,15000
23,Kabupaten Madiun,2024-04-01,kentang,15000
24,Kabupaten Mojokerto,2024-04-01,kentang,15000
25,Kabupaten Sidoarjo,2024-04-01,kentang,15000
26,Kabupaten Trenggalek,2024-04-01,kentang,15000
27,Kota Kediri,2024-04-01,kentang,14666
28,Kabupaten Pasuruan,2024-04-01,kentang,14666
29,Kabupaten Jember,2024-04-01,kentang,14600
30,Kabupaten Blitar,2024-04-01,kentang,14500
31,Kabupaten Probolinggo,2024-04-01,kentang,14333
32,Kabupaten Situbondo,2024-04-01,kentang,14333
33,Kabupaten Malang,2024-04-01,kentang,14200
34,Kabupaten Bondowoso,2024-04-01,kentang,14000
35,Kota Probolinggo,2024-04-01,kentang,13666
36,Kota Pasuruan,2024-04-01,kentang,13450
37,Kabupaten Jombang,2024-04-01,kentang,13333
38,Kabupaten Kediri,2024-04-01,kentang,13333
