no,city,year,commodity,price
1,Kabupaten Gresik,2024-01-19,kentang,20000
2,Kabupaten Pacitan,2024-01-19,kentang,19666
3,Kabupaten Bojonegoro,2024-01-19,kentang,19500
4,Kabupaten Nganjuk,2024-01-19,kentang,19333
5,Kota Kediri,2024-01-19,kentang,19000
6,Kabupaten Ngawi,2024-01-19,kentang,18666
7,Kabupaten Tuban,2024-01-19,kentang,18666
8,Kabupaten Pasuruan,2024-01-19,kentang,18566
9,Kota Batu,2024-01-19,kentang,18500
10,Kabupaten Kediri,2024-01-19,kentang,18333
11,Kabupaten Jember,2024-01-19,kentang,18200
12,Kota Mojokerto,2024-01-19,kentang,18000
13,Kabupaten Madiun,2024-01-19,kentang,17750
14,Kabupaten Jombang,2024-01-19,kentang,17666
15,Kabupaten Lamongan,2024-01-19,kentang,17250
16,Kabupaten Pamekasan,2024-01-19,kentang,17000
17,Kabupaten Ponorogo,2024-01-19,kentang,17000
18,Kota Blitar,2024-01-19,kentang,17000
19,Kabupaten Banyuwangi,2024-01-19,kentang,16600
20,Kota Malang,2024-01-19,kentang,16500
21,Kabupaten Magetan,2024-01-19,kentang,16500
22,Kabupaten Sampang,2024-01-19,kentang,16500
23,Kota Surabaya,2024-01-19,kentang,16333
24,Kabupaten Bangkalan,2024-01-19,kentang,16000
25,Kabupaten Sidoarjo,2024-01-19,kentang,16000
26,Kabupaten Trenggalek,2024-01-19,kentang,16000
27,Kota Pasuruan,2024-01-19,kentang,15900
28,Kabupaten Sumenep,2024-01-19,kentang,15500
29,Kabupaten Malang,2024-01-19,kentang,15400
30,Kota Probolinggo,2024-01-19,kentang,15333
31,Kabupaten Blitar,2024-01-19,kentang,15000
32,Kabupaten Lumajang,2024-01-19,kentang,15000
33,Kabupaten Mojokerto,2024-01-19,kentang,15000
34,Kabupaten Probolinggo,2024-01-19,kentang,14666
35,Kabupaten Tulungagung,2024-01-19,kentang,14666
36,Kota Madiun,2024-01-19,kentang,14666
37,Kabupaten Situbondo,2024-01-19,kentang,14333
38,Kabupaten Bondowoso,2024-01-19,kentang,14000
