no,city,year,commodity,price
1,Kabupaten Gresik,2024-04-14,tomat,38333
2,Kabupaten Sampang,2024-04-14,tomat,37000
3,Kabupaten Lamongan,2024-04-14,tomat,34500
4,Kota Probolinggo,2024-04-14,tomat,34333
5,Kabupaten Pamekasan,2024-04-14,tomat,34000
6,Kabupaten Banyuwangi,2024-04-14,tomat,33800
7,Kabupaten Lumajang,2024-04-14,tomat,33666
8,Kabupaten Sidoarjo,2024-04-14,tomat,33500
9,Kabupaten Situbondo,2024-04-14,tomat,33333
10,Kabupaten Jember,2024-04-14,tomat,33300
11,Kota Mojokerto,2024-04-14,tomat,32000
12,Kabupaten Ngawi,2024-04-14,tomat,31666
13,Kabupaten Kediri,2024-04-14,tomat,31333
14,Kota Kediri,2024-04-14,tomat,30000
15,Kabupaten Magetan,2024-04-14,tomat,30000
16,Kabupaten Sumenep,2024-04-14,tomat,30000
17,Kabupaten Trenggalek,2024-04-14,tomat,30000
18,Kota Blitar,2024-04-14,tomat,30000
19,Kabupaten Madiun,2024-04-14,tomat,29000
20,Kabupaten Nganjuk,2024-04-14,tomat,29000
21,Kota Batu,2024-04-14,tomat,29000
22,Kabupaten Bojonegoro,2024-04-14,tomat,28500
23,Kabupaten Pasuruan,2024-04-14,tomat,28333
24,Kabupaten Bondowoso,2024-04-14,tomat,28000
25,Kota Madiun,2024-04-14,tomat,27666
26,Kota Surabaya,2024-04-14,tomat,27333
27,Kabupaten Jombang,2024-04-14,tomat,27000
28,Kabupaten Pacitan,2024-04-14,tomat,26000
29,Kabupaten Ponorogo,2024-04-14,tomat,26000
30,Kota Pasuruan,2024-04-14,tomat,25950
31,Kabupaten Mojokerto,2024-04-14,tomat,24750
32,Kota Malang,2024-04-14,tomat,24166
33,Kabupaten Malang,2024-04-14,tomat,23200
34,Kabupaten Tulungagung,2024-04-14,tomat,22666
35,Kabupaten Tuban,2024-04-14,tomat,22000
36,Kabupaten Probolinggo,2024-04-14,tomat,20000
37,Kabupaten Bangkalan,2024-04-14,tomat,18000
38,Kabupaten Blitar,2024-04-14,tomat,16500
