no,city,year,commodity,price
1,Kabupaten Bangkalan,2024-02-21,tomat,35333
2,Kabupaten Gresik,2024-02-21,tomat,23000
3,Kabupaten Ponorogo,2024-02-21,tomat,22500
4,Kota Batu,2024-02-21,tomat,22250
5,Kabupaten Pacitan,2024-02-21,tomat,21333
6,Kabupaten Banyuwangi,2024-02-21,tomat,21200
7,Kabupaten Pamekasan,2024-02-21,tomat,21000
8,Kabupaten Trenggalek,2024-02-21,tomat,21000
9,Kota Mojokerto,2024-02-21,tomat,21000
10,Kabupaten Kediri,2024-02-21,tomat,20666
11,Kabupaten Bojonegoro,2024-02-21,tomat,20000
12,Kabupaten Magetan,2024-02-21,tomat,20000
13,Kabupaten Ngawi,2024-02-21,tomat,20000
14,Kabupaten Madiun,2024-02-21,tomat,19900
15,Kabupaten Jombang,2024-02-21,tomat,19333
16,Kabupaten Lamongan,2024-02-21,tomat,19000
17,Kabupaten Nganjuk,2024-02-21,tomat,19000
18,Kabupaten Sumenep,2024-02-21,tomat,19000
19,Kota Kediri,2024-02-21,tomat,18666
20,Kabupaten Sampang,2024-02-21,tomat,18250
21,Kabupaten Jember,2024-02-21,tomat,18200
22,Kota Pasuruan,2024-02-21,tomat,17750
23,Kota Malang,2024-02-21,tomat,17666
24,Kota Probolinggo,2024-02-21,tomat,17333
25,Kota Madiun,2024-02-21,tomat,16666
26,Kabupaten Tuban,2024-02-21,tomat,16000
27,Kabupaten Pasuruan,2024-02-21,tomat,15833
28,Kota Surabaya,2024-02-21,tomat,15500
29,Kabupaten Bondowoso,2024-02-21,tomat,15500
30,Kabupaten Sidoarjo,2024-02-21,tomat,15500
31,Kabupaten Lumajang,2024-02-21,tomat,15333
32,Kabupaten Blitar,2024-02-21,tomat,14500
33,Kabupaten Probolinggo,2024-02-21,tomat,14333
34,Kabupaten Malang,2024-02-21,tomat,14200
35,Kota Blitar,2024-02-21,tomat,14000
36,Kabupaten Situbondo,2024-02-21,tomat,13666
37,Kabupaten Mojokerto,2024-02-21,tomat,13550
38,Kabupaten Tulungagung,2024-02-21,tomat,13000
