no,city,year,commodity,price
1,Kabupaten Gresik,2024-02-01,tomat,26333
2,Kota Batu,2024-02-01,tomat,22500
3,Kota Mojokerto,2024-02-01,tomat,22000
4,Kabupaten Sidoarjo,2024-02-01,tomat,21500
5,Kabupaten Lamongan,2024-02-01,tomat,20500
6,Kabupaten Sampang,2024-02-01,tomat,20500
7,Kota Kediri,2024-02-01,tomat,20000
8,Kabupaten Kediri,2024-02-01,tomat,20000
9,Kabupaten Magetan,2024-02-01,tomat,20000
10,Kabupaten Pamekasan,2024-02-01,tomat,20000
11,Kabupaten Sumenep,2024-02-01,tomat,20000
12,Kota Madiun,2024-02-01,tomat,20000
13,Kota Probolinggo,2024-02-01,tomat,19333
14,Kabupaten Nganjuk,2024-02-01,tomat,19000
15,Kabupaten Pacitan,2024-02-01,tomat,19000
16,Kabupaten Banyuwangi,2024-02-01,tomat,18900
17,Kota Pasuruan,2024-02-01,tomat,18900
18,Kabupaten Pasuruan,2024-02-01,tomat,18833
19,Kabupaten Ngawi,2024-02-01,tomat,18666
20,Kabupaten Malang,2024-02-01,tomat,18600
21,Kabupaten Bangkalan,2024-02-01,tomat,18333
22,Kabupaten Madiun,2024-02-01,tomat,18250
23,Kabupaten Trenggalek,2024-02-01,tomat,18000
24,Kabupaten Jember,2024-02-01,tomat,17800
25,Kabupaten Lumajang,2024-02-01,tomat,17333
26,Kota Malang,2024-02-01,tomat,17166
27,Kabupaten Ponorogo,2024-02-01,tomat,17000
28,Kabupaten Bondowoso,2024-02-01,tomat,16750
29,Kabupaten Bojonegoro,2024-02-01,tomat,16500
30,Kabupaten Jombang,2024-02-01,tomat,16000
31,Kabupaten Mojokerto,2024-02-01,tomat,15750
32,Kabupaten Probolinggo,2024-02-01,tomat,15000
33,Kabupaten Tuban,2024-02-01,tomat,14000
34,Kota Blitar,2024-02-01,tomat,14000
35,Kabupaten Situbondo,2024-02-01,tomat,13333
36,Kota Surabaya,2024-02-01,tomat,13166
37,Kabupaten Tulungagung,2024-02-01,tomat,13000
38,Kabupaten Blitar,2024-02-01,tomat,12500
